UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Airtel Payments Bank Apps,8.53,"2,047.45",13.22,"4,729.77",1,2022
Airtel Payments Bank Apps,5.8,"1,199.46",7.58,"2,210.17",2,2022
Airtel Payments Bank Apps,8.33,"1,934.41",13.16,"4,492.25",3,2022
Airtel Payments Bank Apps,5.29,454.64,5.3,460.9,4,2022
Airtel Payments Bank Apps,6.1,486.55,6.11,486.62,5,2022
Airtel Payments Bank Apps,6.38,506.14,6.38,506.2,6,2022
Airtel Payments Bank Apps,7.4,555.09,7.41,555.26,7,2022
Airtel Payments Bank Apps,9.04,2248.49,15.12,5732.09,12,2021
Airtel Payments Bank Apps,8.41,1923.95,15.9,5554.63,11,2021
Airtel Payments Bank Apps,7.6,1491.34,14.31,4746.79,10,2021
Airtel Payments Bank Apps,6.91,1520.92,11.52,3759.12,9,2021
Airtel Payments Bank Apps,6.14,1396.65,9.31,2941.88,8,2021
Airtel Payments Bank Apps,5.79,1534.21,7.36,2342.76,7,2021
Airtel Payments Bank Apps,5.06,1323.26,6.69,2821.94,6,2021
Airtel Payments Bank Apps,4.06,429.12,4.06,429.12,5,2021
Airtel Payments Bank Apps,3.53,363.66,14.7,11172.43,4,2021
Airtel Payments Bank Apps,3.79,381.74,3.79,381.74,3,2021
Airtel Payments Bank Apps,3.33,348.7,3.33,348.7,2,2021
Airtel Payments Bank Apps,3.71,355.77,3.71,355.77,1,2021
Amazon Pay,73.5,"6,729.66",73.5,"6,729.66",1,2022
Amazon Pay,63.49,"6,044.47",63.49,"6,044.47",2,2022
Amazon Pay,76.34,"6,894.78",76.34,"6,894.78",3,2022
Amazon Pay,73.21,"6,699.57",73.21,"6,699.57",4,2022
Amazon Pay,74.83,"6,954.18",74.83,"6,954.18",5,2022
Amazon Pay,68.4,"6,541.84",68.4,"6,541.84",6,2022
Amazon Pay,68.77,"6,751.80",68.77,"6,751.80",7,2022
Amazon Pay,76.18,6641.62,76.18,6641.62,12,2021
Amazon Pay,71.04,6041.96,71.04,6041.96,11,2021
Amazon Pay,68.82,6286.6,68.82,6286.6,10,2021
Amazon Pay,62.9,5267.79,62.9,5267.79,9,2021
Amazon Pay,60.67,5297.16,60.67,5297.16,8,2021
Amazon Pay,62.83,5223.57,62.83,5223.57,7,2021
Amazon Pay,51.34,4814.74,51.34,4814.74,6,2021
Amazon Pay,58.35,4782.59,58.35,4782.59,5,2021
Amazon Pay,49.12,4272.47,49.12,4272.47,4,2021
Amazon Pay,52.38,4457.47,52.38,4457.47,3,2021
Amazon Pay,44.22,3831.99,44.22,3831.99,2,2021
Amazon Pay,46.3,4044.38,46.3,4044.38,1,2021
Axis Bank Apps,6.78,"1,058.77",47.25,"1,093.02",1,2022
Axis Bank Apps,6.9,"1,366.34",54.78,"1,405.26",2,2022
Axis Bank Apps,7.09,"1,045.13",61.29,"1,084.94",3,2022
Axis Bank Apps,7.19,"1,213.44",64.03,"1,257.15",4,2022
Axis Bank Apps,7.46,"1,372.31",58.66,"1,425.16",5,2022
Axis Bank Apps,6.96,"1,217.71",52.6,"1,268.38",6,2022
Axis Bank Apps,7.35,"1,174.32",53.99,"1,213.95",7,2022
Axis Bank Apps,6.63,916.58,59.85,957.37,12,2021
Axis Bank Apps,6.71,875.09,70.83,920.76,11,2021
Axis Bank Apps,8.4,963.14,69.28,1005.7,10,2021
Axis Bank Apps,7.37,788.51,59.13,832.73,9,2021
Axis Bank Apps,10.11,890.5,87.49,959.73,8,2021
Axis Bank Apps,10.08,891.26,74.13,941.35,7,2021
Axis Bank Apps,9.77,822.59,61.92,857.05,6,2021
Axis Bank Apps,10.27,769.07,68.9,806.31,5,2021
Axis Bank Apps,9.72,697.87,80.52,747.46,4,2021
Axis Bank Apps,8.56,704.6,72.87,748.91,3,2021
Axis Bank Apps,6.72,604.08,64.74,648.47,2,2021
Axis Bank Apps,5.23,560.7,71.96,618.44,1,2021
Bajaj Finserv,1.16,85.49,1.16,85.49,6,2022
Bajaj Finserv,1.95,128.52,1.95,128.52,7,2022
BHIM,25.82,"8,511.91",25.82,"8,511.91",1,2022
BHIM,23.25,"7,891.86",23.25,"7,891.86",2,2022
BHIM,24.88,"8,050.24",24.88,"8,050.24",3,2022
BHIM,25.69,"8,354.34",25.69,"8,354.34",4,2022
BHIM,26.57,"9,559.66",26.57,"9,559.66",5,2022
BHIM,22.6,"7,527.98",22.6,"7,527.98",6,2022
BHIM,24.48,"7,823.95",24.48,"7,823.95",7,2022
BHIM,27.12,8831.67,27.12,8831.67,12,2021
BHIM,25.23,8237.22,25.23,8237.22,11,2021
BHIM,27.27,8513.82,27.27,8513.82,10,2021
BHIM,25.36,7538.58,25.36,7538.58,9,2021
BHIM,26.33,8063.93,26.33,8063.93,8,2021
BHIM,23.76,7442.86,23.76,7442.86,7,2021
BHIM,22.84,7319.77,22.84,7319.77,6,2021
BHIM,21.02,6776.2,21.02,6776.2,5,2021
BHIM,22.26,6886.78,22.26,6886.78,4,2021
BHIM,24.42,7653.21,24.42,7653.21,3,2021
BHIM,20.44,6379.91,20.44,6379.91,2,2021
BHIM,23.38,7462.94,23.38,7462.94,1,2021
Cointab,1.21,179.22,1.21,179.22,1,2022
Cointab,1.73,280.57,1.73,280.57,2,2022
Cred,10.68,"14,189.86",10.68,"14,189.86",1,2022
Cred,10.08,"13,364.09",10.08,"13,364.09",2,2022
Cred,12.11,"16,136.11",12.11,"16,136.11",3,2022
Cred,13.05,"16,372.92",13.05,"16,372.92",4,2022
Cred,13.89,"18,174.61",13.89,"18,174.61",5,2022
Cred,13.4,"17,583.25",13.4,"17,583.25",6,2022
Cred,14.89,"19,716.43",14.89,"19,716.43",7,2022
Cred,10.36,13817.16,10.36,13817.16,12,2021
Cred,9.03,12277.85,9.03,12277.85,11,2021
Cred,9.73,12561.25,9.73,12561.25,10,2021
Cred,7.74,9614.36,7.74,9614.36,9,2021
