UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Airtel Payments Bank Apps,8.53,"2,047.45",13.22,"4,729.77",1,2022
Airtel Payments Bank Apps,5.8,"1,199.46",7.58,"2,210.17",2,2022
Airtel Payments Bank Apps,8.33,"1,934.41",13.16,"4,492.25",3,2022
Airtel Payments Bank Apps,5.29,454.64,5.3,460.9,4,2022
Airtel Payments Bank Apps,6.1,486.55,6.11,486.62,5,2022
Airtel Payments Bank Apps,6.38,506.14,6.38,506.2,6,2022
Airtel Payments Bank Apps,7.4,555.09,7.41,555.26,7,2022
Amazon Pay,73.5,"6,729.66",73.5,"6,729.66",1,2022
Amazon Pay,63.49,"6,044.47",63.49,"6,044.47",2,2022
Amazon Pay,76.34,"6,894.78",76.34,"6,894.78",3,2022
Amazon Pay,73.21,"6,699.57",73.21,"6,699.57",4,2022
Amazon Pay,74.83,"6,954.18",74.83,"6,954.18",5,2022
Amazon Pay,68.4,"6,541.84",68.4,"6,541.84",6,2022
Amazon Pay,68.77,"6,751.80",68.77,"6,751.80",7,2022
Axis Bank Apps,6.78,"1,058.77",47.25,"1,093.02",1,2022
Axis Bank Apps,6.9,"1,366.34",54.78,"1,405.26",2,2022
Axis Bank Apps,7.09,"1,045.13",61.29,"1,084.94",3,2022
Axis Bank Apps,7.19,"1,213.44",64.03,"1,257.15",4,2022
Axis Bank Apps,7.46,"1,372.31",58.66,"1,425.16",5,2022
Axis Bank Apps,6.96,"1,217.71",52.6,"1,268.38",6,2022
Axis Bank Apps,7.35,"1,174.32",53.99,"1,213.95",7,2022
Bajaj Finserv,1.16,85.49,1.16,85.49,6,2022
Bajaj Finserv,1.95,128.52,1.95,128.52,7,2022
BHIM,25.82,"8,511.91",25.82,"8,511.91",1,2022
BHIM,23.25,"7,891.86",23.25,"7,891.86",2,2022
BHIM,24.88,"8,050.24",24.88,"8,050.24",3,2022
BHIM,25.69,"8,354.34",25.69,"8,354.34",4,2022
BHIM,26.57,"9,559.66",26.57,"9,559.66",5,2022
BHIM,22.6,"7,527.98",22.6,"7,527.98",6,2022
BHIM,24.48,"7,823.95",24.48,"7,823.95",7,2022
Cointab,1.21,179.22,1.21,179.22,1,2022
Cointab,1.73,280.57,1.73,280.57,2,2022
Cred,10.68,"14,189.86",10.68,"14,189.86",1,2022
Cred,10.08,"13,364.09",10.08,"13,364.09",2,2022
Cred,12.11,"16,136.11",12.11,"16,136.11",3,2022
Cred,13.05,"16,372.92",13.05,"16,372.92",4,2022
Cred,13.89,"18,174.61",13.89,"18,174.61",5,2022
Cred,13.4,"17,583.25",13.4,"17,583.25",6,2022
Cred,14.89,"19,716.43",14.89,"19,716.43",7,2022
Deutsche Bank Apps,1.02,91.66,1.02,93.02,3,2022
Deutsche Bank Apps,1.51,128.13,1.51,128.43,4,2022
Deutsche Bank Apps,1.64,116.54,1.64,116.55,5,2022
Deutsche Bank Apps,1.51,99.12,1.51,99.12,6,2022
Deutsche Bank Apps,1.87,116,1.87,116.01,7,2022
Federal Bank Apps,2.45,360.96,2.45,360.96,3,2022
Federal Bank Apps,2.7,375.64,2.7,375.64,4,2022
Federal Bank Apps,3.42,474.12,3.42,474.12,5,2022
Federal Bank Apps,3.55,494.21,3.55,494.21,6,2022
Federal Bank Apps,3.85,539.55,3.85,539.55,7,2022
Google Pay,"1,584.20","2,98,267.07","1,584.20","2,98,267.07",1,2022
Google Pay,"1,524.09","2,91,273.46","1,524.09","2,91,273.46",2,2022
Google Pay,"1,838.12","3,38,873.25","1,838.12","3,38,873.25",3,2022
Google Pay,"1,914.77","3,44,791.35","1,914.77","3,44,791.35",4,2022
Google Pay,"2,079.92","3,65,989.27","2,079.92","3,65,989.27",5,2022
Google Pay,"2,025.89","3,55,137.20","2,025.89","3,55,137.20",6,2022
Google Pay,"2,130.63","3,66,669.09","2,130.63","3,66,669.09",7,2022
HDFC Bank Apps,4.94,"1,366.89",4.94,"1,366.89",1,2022
HDFC Bank Apps,4.59,"1,370.03",4.59,"1,370.03",2,2022
HDFC Bank Apps,5.45,"1,624.54",5.45,"1,624.54",3,2022
HDFC Bank Apps,5.9,"1,759.12",5.9,"1,759.12",4,2022
HDFC Bank Apps,6.95,"1,981.11",6.95,"1,981.11",5,2022
HDFC Bank Apps,8.24,"2,066.22",8.24,"2,066.22",6,2022
HDFC Bank Apps,9.38,"2,341.28",9.38,"2,341.28",7,2022
ICICI Bank Apps,29.87,"8,491.18",33.43,"8,707.05",1,2022
ICICI Bank Apps,27.39,"8,537.11",30.66,"8,727.44",2,2022
ICICI Bank Apps,31.49,"10,304.08",35.13,"10,538.69",3,2022
ICICI Bank Apps,32.82,"9,086.72",37.65,"9,356.17",4,2022
ICICI Bank Apps,32.75,"9,221.65",37.59,"11,056.90",5,2022
ICICI Bank Apps,35.25,"6,931.44",39.37,"10,202.14",6,2022
ICICI Bank Apps,32.53,"7,745.19",37.34,"11,509.29",7,2022
IDFC Bank App,1.22,316.37,1.22,316.37,1,2022
IDFC Bank App,1.21,321.93,1.21,321.93,2,2022
IDFC Bank Apps,2.7,534.56,2.7,534.56,3,2022
IDFC Bank Apps,2.49,532.69,2.49,532.69,4,2022
IDFC Bank Apps,4.75,626.34,4.75,626.34,5,2022
IDFC Bank Apps,7.03,663.65,7.03,663.65,6,2022
IDFC Bank Apps,8.28,645.34,8.28,645.34,7,2022
India Post Payments Bank App,2.65,309.42,2.65,309.42,1,2022
India Post Payments Bank App,2.21,268.9,2.21,268.9,2,2022
India Post Payments Bank Apps,2.95,321.14,2.95,321.14,3,2022
India Post Payments Bank Apps,2.8,328.53,2.8,328.53,4,2022
India Post Payments Bank Apps,3.1,351.88,3.1,351.88,5,2022
India Post Payments Bank Apps,3.98,467.34,3.98,467.34,6,2022
India Post Payments Bank Apps,4.08,480.59,4.08,480.59,7,2022
IndusInd Bank Apps,1.03,"2,252.30",1.03,"2,252.30",3,2022
